Feature,6_7_uniformity-test_z_FDR_0.01.nii.gz,6_6_uniformity-test_z_FDR_0.01.nii.gz,6_5_uniformity-test_z_FDR_0.01.nii.gz,6_4_uniformity-test_z_FDR_0.01.nii.gz,6_3_uniformity-test_z_FDR_0.01.nii.gz,6_2_uniformity-test_z_FDR_0.01.nii.gz,6_1_uniformity-test_z_FDR_0.01.nii.gz,2_5_uniformity-test_z_FDR_0.01.nii.gz,2_4_uniformity-test_z_FDR_0.01.nii.gz,2_3_uniformity-test_z_FDR_0.01.nii.gz,2_2_uniformity-test_z_FDR_0.01.nii.gz,2_1_uniformity-test_z_FDR_0.01.nii.gz,11_4_uniformity-test_z_FDR_0.01.nii.gz,11_3_uniformity-test_z_FDR_0.01.nii.gz,11_2_uniformity-test_z_FDR_0.01.nii.gz,11_1_uniformity-test_z_FDR_0.01.nii.gz,4_5_uniformity-test_z_FDR_0.01.nii.gz,4_4_uniformity-test_z_FDR_0.01.nii.gz,4_3_uniformity-test_z_FDR_0.01.nii.gz,4_2_uniformity-test_z_FDR_0.01.nii.gz,4_1_uniformity-test_z_FDR_0.01.nii.gz,12_1_uniformity-test_z_FDR_0.01.nii.gz,12_2_uniformity-test_z_FDR_0.01.nii.gz
events,0.1928,0.1988,0.1971,0.1672,0.2012,0.1957,0.1348,0.1041,0.1305,0.1488,0.0816,0.1041,0.0979,0.1137,0.0487,0.0642,0.1818,0.2128,0.1872,0.2348,0.1536,0.0566,0.0595
imagery,-0.03,-0.0389,-0.0392,-0.0471,-0.0403,-0.0356,-0.0161,-0.0353,-0.0263,-0.024,-0.0051,-0.0353,-0.0185,-0.0102,0.0486,0.0601,-0.0474,-0.0269,-0.0335,-0.0657,-0.0326,0.0469,0.0757
autobiographical,0.2661,0.286,0.2863,0.2236,0.267,0.2701,0.1262,0.1405,0.1318,0.1925,0.0584,0.1405,0.094,0.1199,0.0065,-0.0077,0.2821,0.2962,0.2549,0.2801,0.1925,-0.0172,-0.029
retrieval,0.2542,0.2943,0.2963,0.261,0.2899,0.2874,0.2288,0.1786,0.2013,0.2389,0.1684,0.1786,0.2543,0.269,0.2438,0.2988,0.2738,0.3223,0.2815,0.2858,0.2174,0.1941,0.2589
episodic,0.1725,0.1985,0.2069,0.1622,0.1864,0.1839,0.0953,0.0853,0.0844,0.1388,0.0354,0.0853,0.1067,0.1017,0.0394,0.0503,0.1964,0.2143,0.1853,0.1952,0.1275,-0.0033,0.0183
memories,0.1917,0.2145,0.1996,0.1779,0.197,0.1949,0.0842,0.113,0.1028,0.1497,0.0417,0.113,0.0855,0.0926,-0.0005,0.0003,0.1814,0.2173,0.1979,0.2448,0.1607,-0.028,-0.0244
future,0.05,0.0622,0.0787,0.0132,0.0275,0.0498,-0.0028,0.0059,0.0065,0.037,-0.0382,0.0059,-0.0448,-0.032,-0.1033,-0.1268,0.0891,0.0642,0.0566,0.0747,0.0275,-0.0938,-0.118
semantic,0.1913,0.1786,0.1608,0.2369,0.2206,0.1747,0.1266,0.0637,0.0923,0.1061,0.058,0.0637,0.2289,0.204,0.1926,0.2292,0.1378,0.1839,0.1488,0.2022,0.0935,0.0879,0.1517
past,0.0845,0.0916,0.1042,0.0802,0.09,0.0953,0.0148,0.0214,0.0105,0.0463,-0.0372,0.0214,0.0217,0.026,-0.0385,-0.0565,0.1192,0.1077,0.0851,0.1155,0.0524,-0.0878,-0.0787
event,0.1584,0.1821,0.1774,0.1923,0.2303,0.2143,0.2671,0.1995,0.2354,0.2102,0.2591,0.1995,0.2432,0.2708,0.2822,0.3443,0.1557,0.2124,0.2018,0.1815,0.2036,0.321,0.3564
decision,0.1505,0.1883,0.2111,0.1772,0.1933,0.2062,0.2429,0.2424,0.2381,0.2384,0.2571,0.2424,0.2389,0.2505,0.2593,0.2916,0.2349,0.2574,0.272,0.2579,0.2641,0.2622,0.2806
choice,0.0791,0.1211,0.1455,0.0873,0.1087,0.1353,0.164,0.1939,0.1787,0.1843,0.1907,0.1939,0.1449,0.1679,0.1289,0.1668,0.1707,0.1879,0.2152,0.1975,0.2221,0.1827,0.1887
risk,-0.0685,-0.027,-0.0185,-0.091,-0.0711,-0.0318,-0.0196,0.0217,-0.003,0.0001,0.0035,0.0217,-0.0714,-0.0697,-0.1458,-0.1691,-0.0094,-0.0513,-0.0111,-0.0155,0.0071,-0.0708,-0.1418
decisions,0.1241,0.1347,0.1389,0.1311,0.1458,0.148,0.1777,0.1364,0.1577,0.1436,0.1569,0.1364,0.1699,0.182,0.1631,0.1758,0.1499,0.1646,0.1649,0.174,0.1497,0.1598,0.1668
uncertainty,0.0706,0.0966,0.1199,0.0726,0.0876,0.1064,0.1295,0.0862,0.1178,0.1021,0.1044,0.0862,0.1071,0.1245,0.1361,0.1348,0.126,0.1218,0.1149,0.0998,0.1071,0.1228,0.1373
risky,0.0334,0.0674,0.0848,0.0382,0.0604,0.0929,0.1196,0.1424,0.1376,0.1414,0.1407,0.1424,0.0634,0.0863,0.0429,0.0652,0.095,0.1115,0.1396,0.1357,0.145,0.1085,0.0865
taking,0.092,0.1067,0.0927,0.0898,0.1104,0.1221,0.1194,0.1386,0.1427,0.1276,0.1363,0.1386,0.085,0.0932,0.0539,0.0458,0.0941,0.1101,0.1268,0.1379,0.1385,0.0954,0.0597
behavior,0.0487,0.0951,0.1155,0.0735,0.0964,0.1255,0.1783,0.1952,0.1985,0.1763,0.2233,0.1952,0.101,0.1303,0.0789,0.096,0.1409,0.1494,0.1697,0.1566,0.1676,0.2021,0.1539
preference,0.0561,0.0613,0.0868,0.0567,0.0691,0.0781,0.0612,0.0836,0.0796,0.0991,0.0633,0.0836,0.0191,0.0398,0.0019,0.0103,0.093,0.0975,0.0867,0.0747,0.0781,0.0351,0.0176
probability,0.0396,0.0749,0.0815,0.0648,0.0627,0.0768,0.0876,0.1061,0.0925,0.102,0.112,0.1061,0.0775,0.0843,0.0642,0.0709,0.0893,0.1046,0.1123,0.1163,0.1078,0.0914,0.0863
inhibition,-0.0069,0.0281,0.032,0.0203,0.039,0.059,0.1619,0.1079,0.1417,0.0827,0.195,0.1079,0.1069,0.1221,0.1494,0.1648,0.0225,0.0257,0.0429,0.0053,0.0691,0.2489,0.2165
control,-0.016,-0.0042,-0.006,-0.0133,-0.0015,0.0146,0.1246,0.0554,0.0959,0.0434,0.1524,0.0554,0.1028,0.1149,0.2031,0.2165,-0.0197,-0.0158,0.0006,-0.0445,0.028,0.2238,0.2421
stop,0.0471,0.084,0.0859,0.0788,0.1009,0.1185,0.1967,0.1571,0.192,0.1365,0.2334,0.1571,0.1608,0.1768,0.2172,0.2249,0.0812,0.1006,0.1092,0.0775,0.1244,0.2932,0.2766
motor,-0.1503,-0.1615,-0.1562,-0.1532,-0.1568,-0.1478,-0.0774,-0.1107,-0.0919,-0.1186,-0.051,-0.1107,-0.0834,-0.0746,0.012,0.0017,-0.1593,-0.1639,-0.1475,-0.1931,-0.1306,0.0177,0.032
trials,0.0402,0.0732,0.085,0.0714,0.0801,0.0936,0.1675,0.1254,0.1628,0.1322,0.2005,0.1254,0.1765,0.1808,0.2375,0.279,0.0863,0.0998,0.1024,0.0643,0.0987,0.258,0.2959
nogo,0.0061,0.0348,0.0402,0.0253,0.0442,0.0521,0.1139,0.0683,0.0928,0.0582,0.1206,0.0683,0.0688,0.0832,0.1153,0.1076,0.0466,0.0446,0.0461,0.0202,0.0458,0.1401,0.1251
cognitive,0.1927,0.2121,0.1993,0.1934,0.2122,0.2259,0.2132,0.1373,0.1915,0.1768,0.1597,0.1373,0.2205,0.2271,0.2232,0.2486,0.1718,0.1902,0.1748,0.1502,0.1402,0.1881,0.233
suppression,0.0287,0.0262,0.0266,0.0237,0.036,0.0286,0.0294,0.024,0.0182,0.0315,0.0187,0.024,0.0288,0.0462,0.0303,0.0499,0.0213,0.0404,0.0401,0.0152,0.0285,0.0373,0.0489
error,-0.0044,0.018,0.0417,0.029,0.0377,0.0583,0.1963,0.1405,0.1814,0.119,0.2383,0.1405,0.1647,0.1651,0.228,0.226,0.0462,0.051,0.0769,0.0394,0.1068,0.2868,0.265
pain,-0.0227,0.0129,0.0322,-0.0303,-0.0053,0.0318,0.0915,0.1359,0.1057,0.1023,0.1535,0.1359,-0.0206,0.0127,-0.0005,-0.0115,0.0172,0.0396,0.0622,0.0306,0.0965,0.1501,0.0593
stimulation,-0.2608,-0.2561,-0.2342,-0.2686,-0.284,-0.2612,-0.1949,-0.1598,-0.19,-0.2058,-0.1524,-0.1598,-0.2286,-0.2246,-0.1764,-0.2064,-0.2378,-0.2706,-0.2466,-0.2726,-0.2109,-0.1183,-0.1629
somatosensory,-0.1335,-0.1185,-0.1117,-0.1488,-0.1413,-0.1138,-0.0738,-0.0462,-0.0662,-0.0706,-0.0396,-0.0462,-0.1293,-0.1048,-0.0861,-0.108,-0.124,-0.1231,-0.1018,-0.1416,-0.0826,-0.0169,-0.0606
intensity,-0.0788,-0.0517,-0.043,-0.083,-0.0767,-0.0426,-0.0159,0.0609,0.0141,0.0219,0.0532,0.0609,-0.0825,-0.0727,-0.0991,-0.1091,-0.0473,-0.0416,-0.007,-0.0283,0.0378,0.0185,-0.063
noxious,-0.0191,0.0137,0.0239,-0.0357,-0.0113,0.0235,0.0721,0.0881,0.0781,0.0643,0.1072,0.0881,-0.0076,0.0162,0.0274,0.014,-0.004,0.0152,0.0252,0.006,0.0607,0.1156,0.0617
nociceptive,-0.0953,-0.0813,-0.0609,-0.1076,-0.0997,-0.0702,-0.0061,-0.0064,-0.0078,-0.026,0.0383,-0.0064,-0.0691,-0.0547,-0.032,-0.0364,-0.0724,-0.0727,-0.0564,-0.0827,-0.0376,0.0617,0.0057
placebo,-0.0684,-0.0497,-0.0129,-0.0769,-0.0796,-0.0453,-0.0212,0.0258,0.0118,-0.0008,0.0249,0.0258,-0.0644,-0.0736,-0.0976,-0.1284,-0.0057,-0.0494,-0.0228,-0.0267,0.0118,-0.0251,-0.0901
chronic,-0.1122,-0.1006,-0.0957,-0.1334,-0.1475,-0.1188,-0.1044,-0.0639,-0.0927,-0.0954,-0.0772,-0.0639,-0.1474,-0.1337,-0.1855,-0.2291,-0.1023,-0.1501,-0.1173,-0.1418,-0.0889,-0.1351,-0.2059
sensory,-0.1105,-0.117,-0.128,-0.1141,-0.112,-0.103,-0.0913,-0.0644,-0.0802,-0.079,-0.0633,-0.0644,-0.1189,-0.0871,-0.058,-0.0578,-0.1501,-0.1198,-0.1103,-0.1398,-0.1046,-0.0327,-0.0324
